Nombre,Referencia interna,Precio de venta,Tipo,Peso Kg,Tipo pallet,Medida pallet,TARIC (HS),Nombre EN-US
Patines Roller talla 26,A00130,95,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU26
Patines Roller talla 27,A00131,95,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU27
Patines Roller talla 28,A00132,95,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU28
Patines Roller talla 29,A00133,95,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU29
Patines Roller talla 30,A00134,95,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU30
Patines Roller talla 31,A00135,95,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU31
Patines Roller talla 32,A00136,95,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU32
Patines Roller talla 33,A00138,95,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU33
Patines Roller talla 34,A00139,95,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU34
Patines Roller talla 35,A00140,95,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU35
Patines Roller talla 36,A00141,95,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU36
Patines Roller talla 37,A00142,95,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU37
Patines Roller talla 38,A00143,95,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU38
Patines Roller talla 39,A00144,95,consu,2.2,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU39
Patines Roller talla 40,A00145,95,consu,2.2,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU40
Patines Roller talla 41,A00146,95,consu,2.2,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU41
Patines Roller talla 42,A00147,95,consu,2.2,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU42
Patines Roller talla 43,A00148,95,consu,2.5,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU43
Patines Roller talla 44,A00149,95,consu,2.5,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU44
Patines Roller talla 45,A00150,95,consu,2.5,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU45
Patines Roller talla 46,A00151,95,consu,2.7,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU46
Patines Roller talla 47,A00152,95,consu,2.7,Patines,1.00x1.00,9506.70.40.00,Skates Roller size EU47
Patines X Talla 25,A00371,100,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates X size EU25/USA 8.0C
Patines X Talla 26,A00372,100,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates X size EU26/USA 9.0C
Patines X Talla 27,A00373,100,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates X size EU27/USA 10.0C
Patines X Talla 28,A00374,100,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates X size EU28/USA 10.5C
Patines X Talla 29,A00375,100,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates X size EU29/USA 11.5C
Patines X Talla 30,A00376,100,consu,1.6,Patines,1.00x1.00,9506.70.40.00,Skates X size EU30/USA 12.5C
Patines X Talla 31,A00377,100,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates X size EU31/USA 13.0C
Patines X Talla 32,A00378,100,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates X size EU32/USA 1.0Y
Patines X Talla 33,A00379,100,consu,1.8,Patines,1.00x1.00,9506.70.40.00,Skates X size EU33/USA 1.5Y
