Nombre,Referencia interna,Precio de venta,Tipo,Peso Kg,Tipo pallet,Medida pallet,TARIC (HS),Nombre EN-US
Xtraice panel PRO 20mm black,A00294,500,consu,38.0,Paneles,2.00x1.00,3901.20.10.00,Xtraice panel PRO 20mm black
Xtraice panel PRO 20mm blue,A00208,497,consu,38.0,Paneles,2.00x1.00,3901.20.10.00,Xtraice panel PRO 20mm blue
Xtraice panel PRO 20mm green,A00295,500,consu,38.0,Paneles,2.00x1.00,3901.20.10.00,Xtraice panel PRO 20mm green
Xtraice panel PRO 20mm orange,A00297,500,consu,38.0,Paneles,2.00x1.00,3901.20.10.00,Xtraice panel PRO 20mm orange
Xtraice panel PRO 20mm red,A00305,500,consu,36.5,Paneles,2.00x1.00,3901.20.10.00,Xtraice panel PRO 20mm red
Xtraice panel PRO 20mm yellow,A00296,500,consu,38.0,Paneles,2.00x1.00,3901.20.10.00,Xtraice panel PRO 20mm yellow
Pista Curling 10x3,A00603,1,consu,570,Paneles,2.00x1.00,,
Pista Curling 12x3,A00604,1,consu,684,Paneles,2.00x1.00,,
Pista Curling 14x3,A00605,1,consu,798,Paneles,2.00x1.00,,
Pista Curling 16x3, A00606,1,consu,0.0,Paneles,2.00x1.00,,Curling 14x3
Remecanizado de paneles,A00602,,service,0.0,,,,Tongue and groove re-profiling
Gastos de envío,A00608,,service,0.0,,,,Sipping/Delivery costs
Estructura Tobogán de 3 carriles,A00610,,consu,0.0,,,,Tobogán de 3 carriles con estructura
Pista Curling 10x3,A00616,,consu,0.0,,,,Pista Curling 10x3
Diana de Curling inserción,A00615,,consu,0.0,,,,Diana de Curling inserción
Pista Curling 14x3,A00614,,consu,0.0,,,,Curling 14x3
Pista Curling 12x3,A00613,,consu,0.0,,,,Pista Curling 12x3
Estructura Tobogán de 6 carriles,A00611,,consu,0.0,,,,Estructura Tobogán de 6 carriles
Kit montaje calle Curling,A00617,,consu,0.0,,,,Curling installation kit
